Red%,Yellow%,Blue%
0,0,1
0.091,0,0.909
0.182,0,0.818
0.2725,0,0.7275
0.3635,0,0.6365
0.4545,0,0.5455
0.5455,0,0.4545
0.6365,0,0.3635
0.7275,0,0.2725
0.818,0,0.182
0.909,0,0.091
1,0,0
0,0.125,0.875
0.0795,0.125,0.7955
0.159,0.125,0.716
0.2385,0.125,0.6365
0.318,0.125,0.557
0.3975,0.125,0.4775
0.4775,0.125,0.3975
0.557,0.125,0.318
0.6365,0.125,0.2385
0.716,0.125,0.159
0.7955,0.125,0.0795
0.875,0.125,0
0,0.222,0.778
0.0705,0.222,0.707
0.1415,0.222,0.6365
0.212,0.222,0.5655
0.283,0.222,0.495
0.3535,0.222,0.424
0.424,0.222,0.3535
0.495,0.222,0.283
0.5655,0.222,0.212
0.6365,0.222,0.1415
0.707,0.222,0.0705
0.778,0.222,0
0,0.3,0.7
0.0635,0.3,0.6365
0.1275,0.3,0.5725
0.191,0.3,0.509
0.2545,0.3,0.4455
0.318,0.3,0.382
0.382,0.3,0.318
0.4455,0.3,0.2545
0.509,0.3,0.191
0.5725,0.3,0.1275
0.6365,0.3,0.0635
0.7,0.3,0
0,0.3635,0.6365
0.058,0.3635,0.5785
0.1155,0.3635,0.5205
0.1735,0.3635,0.463
0.2315,0.3635,0.405
0.2895,0.3635,0.347
0.347,0.3635,0.2895
0.405,0.3635,0.2315
0.463,0.3635,0.1735
0.5205,0.3635,0.1155
0.5785,0.3635,0.058
0.6365,0.3635,0
0,0.4165,0.5835
0.053,0.4165,0.5305
0.106,0.4165,0.4775
0.159,0.4165,0.424
0.212,0.4165,0.371
0.265,0.4165,0.318
0.318,0.4165,0.265
0.371,0.4165,0.212
0.424,0.4165,0.159
0.4775,0.4165,0.106
0.5305,0.4165,0.053
0.5835,0.4165,0
0,0.4615,0.5385
0.049,0.4615,0.4895
0.098,0.4615,0.4405
0.147,0.4615,0.3915
0.196,0.4615,0.3425
0.245,0.4615,0.2935
0.2935,0.4615,0.245
0.3425,0.4615,0.196
0.3915,0.4615,0.147
0.4405,0.4615,0.098
0.4895,0.4615,0.049
0.5385,0.4615,0
0,0.5,0.5
0.0455,0.5,0.4545
0.091,0.5,0.409
0.1365,0.5,0.3635
0.182,0.5,0.318
0.2275,0.5,0.2725
0.2725,0.5,0.2275
0.318,0.5,0.182
0.3635,0.5,0.1365
0.409,0.5,0.091
0.4545,0.5,0.0455
0.5,0.5,0
