Well,Red%,Yellow%,Blue%
A1,1.00000000,0.00000000,0.00000000
A2,0.90909091,0.09090909,0.00000000
A3,0.81818182,0.18181818,0.00000000
A4,0.72727273,0.27272727,0.00000000
A5,0.63636364,0.36363636,0.00000000
A6,0.54545455,0.45454545,0.00000000
A7,0.45454545,0.54545455,0.00000000
A8,0.36363636,0.63636364,0.00000000
A9,0.27272727,0.72727273,0.00000000
A10,0.18181818,0.81818182,0.00000000
A11,0.09090909,0.90909091,0.00000000
A12,0.00000000,1.00000000,0.00000000
B1,0.87500000,0.00000000,0.12500000
B2,0.79545455,0.07954545,0.12500000
B3,0.71590909,0.15909091,0.12500000
B4,0.63636364,0.23863636,0.12500000
B5,0.55681818,0.31818182,0.12500000
B6,0.47727273,0.39772727,0.12500000
B7,0.39772727,0.47727273,0.12500000
B8,0.31818182,0.55681818,0.12500000
B9,0.23863636,0.63636364,0.12500000
B10,0.15909091,0.71590909,0.12500000
B11,0.07954545,0.79545455,0.12500000
B12,0.00000000,0.87500000,0.12500000
C1,0.77777778,0.00000000,0.22222222
C2,0.70707071,0.07070707,0.22222222
C3,0.63636364,0.14141414,0.22222222
C4,0.56565657,0.21212121,0.22222222
C5,0.49494949,0.28282828,0.22222222
C6,0.42424242,0.35353535,0.22222222
C7,0.35353535,0.42424242,0.22222222
C8,0.28282828,0.49494949,0.22222222
C9,0.21212121,0.56565657,0.22222222
C10,0.14141414,0.63636364,0.22222222
C11,0.07070707,0.70707071,0.22222222
C12,0.00000000,0.77777778,0.22222222
D1,0.70000000,0.00000000,0.30000000
D2,0.63636364,0.06363636,0.30000000
D3,0.57272727,0.12727273,0.30000000
D4,0.50909091,0.19090909,0.30000000
D5,0.44545455,0.25454545,0.30000000
D6,0.38181818,0.31818182,0.30000000
D7,0.31818182,0.38181818,0.30000000
D8,0.25454545,0.44545455,0.30000000
D9,0.19090909,0.50909091,0.30000000
D10,0.12727273,0.57272727,0.30000000
D11,0.06363636,0.63636364,0.30000000
D12,0.00000000,0.70000000,0.30000000
E1,0.63636364,0.00000000,0.36363636
E2,0.57851240,0.05785124,0.36363636
E3,0.52066116,0.11570248,0.36363636
E4,0.46280992,0.17355372,0.36363636
E5,0.40495868,0.23140496,0.36363636
E6,0.34710744,0.28925620,0.36363636
E7,0.28925620,0.34710744,0.36363636
E8,0.23140496,0.40495868,0.36363636
E9,0.17355372,0.46280992,0.36363636
E10,0.11570248,0.52066116,0.36363636
E11,0.05785124,0.57851240,0.36363636
E12,0.00000000,0.63636364,0.36363636
F1,0.58333333,0.00000000,0.41666667
F2,0.53030303,0.05303030,0.41666667
F3,0.47727273,0.10606061,0.41666667
F4,0.42424242,0.15909091,0.41666667
F5,0.37121212,0.21212121,0.41666667
F6,0.31818182,0.26515152,0.41666667
F7,0.26515152,0.31818182,0.41666667
F8,0.21212121,0.37121212,0.41666667
F9,0.15909091,0.42424242,0.41666667
F10,0.10606061,0.47727273,0.41666667
F11,0.05303030,0.53030303,0.41666667
F12,0.00000000,0.58333333,0.41666667
G1,0.53846154,0.00000000,0.46153846
G2,0.48951049,0.04895105,0.46153846
G3,0.44055944,0.09790210,0.46153846
G4,0.39160839,0.14685315,0.46153846
G5,0.34265734,0.19580420,0.46153846
G6,0.29370629,0.24475524,0.46153846
G7,0.24475524,0.29370629,0.46153846
G8,0.19580420,0.34265734,0.46153846
G9,0.14685315,0.39160839,0.46153846
G10,0.09790210,0.44055944,0.46153846
G11,0.04895105,0.48951049,0.46153846
G12,0.00000000,0.53846154,0.46153846
H1,0.50000000,0.00000000,0.50000000
H2,0.45454545,0.04545455,0.50000000
H3,0.40909091,0.09090909,0.50000000
H4,0.36363636,0.13636364,0.50000000
H5,0.31818182,0.18181818,0.50000000
H6,0.27272727,0.22727273,0.50000000
H7,0.22727273,0.27272727,0.50000000
H8,0.18181818,0.31818182,0.50000000
H9,0.13636364,0.36363636,0.50000000
H10,0.09090909,0.40909091,0.50000000
H11,0.04545455,0.45454545,0.50000000
H12,0.00000000,0.50000000,0.50000000
