Time,A7,A8,CONTOL4,B7,B8,C7,C8,D7,D8,E7,E8,F7,F8,G7,G8,H7,H8
0:00:00,0.1546,0.1941,0.1519,0.1214,0.2168,0.1344,0.1818,0.1524,0.1765,0.1827,0.2247,0.1866,0.2093,0.2226,0.1662,0.1977,0.2154
0:00:15,0.1742,0.225,0.185,0.1365,0.2541,0.1508,0.2077,0.1726,0.1936,0.2085,0.2686,0.2156,0.2498,0.2596,0.1935,0.2281,0.2558
0:00:30,0.1928,0.2536,0.2173,0.1504,0.289,0.1661,0.2314,0.1916,0.2098,0.2333,0.31,0.2417,0.2871,0.2942,0.218,0.2576,0.2949
0:00:45,0.2109,0.2816,0.2503,0.1641,0.3232,0.1811,0.255,0.2103,0.2258,0.2581,0.3515,0.2699,0.3235,0.3278,0.2424,0.2863,0.3336
0:01:00,0.229,0.309,0.2829,0.1769,0.3571,0.1951,0.2779,0.2276,0.2411,0.282,0.3912,0.2956,0.3588,0.3621,0.2655,0.3148,0.3718
0:01:15,0.2462,0.3362,0.3161,0.1895,0.3896,0.2092,0.2999,0.2453,0.2566,0.3045,0.4322,0.3198,0.3934,0.3943,0.2881,0.3416,0.4101
0:01:30,0.2631,0.3626,0.3478,0.2035,0.419,0.2231,0.3211,0.2623,0.2716,0.3278,0.472,0.3464,0.4285,0.4265,0.3101,0.3692,0.4472
0:01:45,0.2799,0.3886,0.3795,0.2165,0.4515,0.2365,0.3417,0.2793,0.2862,0.3508,0.5127,0.3714,0.4623,0.4587,0.3317,0.3962,0.4849
0:02:00,0.2979,0.4142,0.4116,0.2282,0.4862,0.2493,0.3618,0.2963,0.3007,0.3726,0.5525,0.3956,0.4946,0.49,0.3534,0.4232,0.5222
0:02:15,0.3147,0.4407,0.4439,0.2403,0.518,0.2619,0.3818,0.3123,0.3153,0.3947,0.5936,0.4201,0.5284,0.5205,0.3736,0.4499,0.5599
0:02:30,0.3303,0.4664,0.4761,0.2541,0.5489,0.2748,0.4013,0.3277,0.3298,0.4165,0.6335,0.444,0.5608,0.5512,0.3937,0.4761,0.5969
