Time,A5,A6,CONTROL3,B5,B6,C5,C6,D5,D6,E5,E6,F5,F6,G5,G6,H5,H6
0:00:00,0.1835,0.2037,0.1724,0.2603,0.2137,0.2817,0.198,0.2553,0.2064,0.0964,0.2302,0.1841,0.2084,0.251,0.1964,0.2304,0.2018
0:00:15,0.1998,0.24,0.2127,0.2986,0.2586,0.3236,0.235,0.2913,0.2439,0.099,0.2647,0.2043,0.2524,0.2864,0.2381,0.2627,0.2373
0:00:30,0.2146,0.2749,0.2512,0.3338,0.2996,0.3624,0.2687,0.3245,0.2784,0.1008,0.2976,0.2218,0.2943,0.3195,0.2775,0.2929,0.2706
0:00:45,0.2293,0.3094,0.2901,0.3693,0.3412,0.4012,0.3026,0.3565,0.3128,0.1028,0.3296,0.2395,0.3355,0.3521,0.3167,0.3224,0.3036
0:01:00,0.244,0.3433,0.3286,0.4036,0.3802,0.4402,0.336,0.3889,0.3466,0.1047,0.3607,0.2572,0.3765,0.3836,0.3554,0.3513,0.3353
0:01:15,0.2582,0.3758,0.368,0.4376,0.4217,0.4784,0.3684,0.42,0.3793,0.1066,0.3919,0.2744,0.4172,0.4155,0.3929,0.3797,0.3668
0:01:30,0.2725,0.4086,0.4076,0.4716,0.4606,0.517,0.4009,0.4509,0.4126,0.1085,0.4223,0.2918,0.4576,0.4462,0.4306,0.4077,0.3978
0:01:45,0.2863,0.4403,0.4466,0.5047,0.5011,0.5544,0.4326,0.4819,0.444,0.1104,0.4525,0.3087,0.498,0.4773,0.4679,0.4353,0.4283
0:02:00,0.3005,0.4724,0.4845,0.5377,0.5404,0.5916,0.4643,0.5131,0.4763,0.1124,0.4824,0.3253,0.5384,0.5075,0.5041,0.463,0.4589
0:02:15,0.3145,0.5041,0.5239,0.5704,0.5798,0.6292,0.4959,0.5426,0.5082,0.1144,0.5127,0.342,0.5775,0.5376,0.5413,0.4899,0.4892
0:02:30,0.328,0.5353,0.5632,0.6024,0.6184,0.6663,0.5268,0.5725,0.5393,0.1161,0.542,0.3578,0.6165,0.5679,0.5771,0.5169,0.5186
