Time,A3,A4,CONTROL2,B3,B4,C3,C4,D3,D4,E3,E4,F3,F4,G3,G4,H3,H4
0:00:00,0.094,0.1986,0.2011,0.2393,0.1648,0.2446,0.1764,0.2001,0.1412,0.227,0.1598,0.2295,0.1484,0.2014,0.1742,0.186,0.1898
0:00:15,0.0959,0.2415,0.241,0.2775,0.1952,0.2862,0.2073,0.2288,0.1604,0.2618,0.1902,0.2642,0.1746,0.2309,0.2104,0.2127,0.2336
0:00:30,0.0979,0.2817,0.2797,0.3136,0.2231,0.3256,0.2346,0.2565,0.1783,0.2943,0.2184,0.2973,0.1983,0.2587,0.2443,0.2378,0.2754
0:00:45,0.0998,0.3211,0.3176,0.3486,0.2506,0.3637,0.2603,0.2827,0.1964,0.3265,0.2459,0.3295,0.2215,0.2855,0.2778,0.262,0.3167
0:01:00,0.1016,0.3605,0.3568,0.3829,0.2777,0.4013,0.2846,0.3092,0.2136,0.3571,0.2728,0.3612,0.2438,0.3115,0.3104,0.2856,0.3573
0:01:15,0.1036,0.3997,0.3937,0.4172,0.3038,0.4386,0.3077,0.3346,0.2309,0.3875,0.2993,0.3925,0.2653,0.337,0.3423,0.3092,0.3974
0:01:30,0.1053,0.4381,0.4317,0.4499,0.3299,0.475,0.3297,0.3595,0.2482,0.4183,0.3251,0.4236,0.2864,0.3626,0.3736,0.3321,0.438
0:01:45,0.107,0.4761,0.4695,0.4826,0.3557,0.5114,0.3513,0.3836,0.2648,0.4485,0.3508,0.454,0.3071,0.3877,0.4048,0.3552,0.4778
0:02:00,0.1089,0.5142,0.5086,0.5145,0.3807,0.5481,0.3722,0.4102,0.2813,0.4791,0.3763,0.485,0.3274,0.4129,0.4357,0.3782,0.5176
0:02:15,0.1106,0.5512,0.5457,0.5465,0.4061,0.5836,0.3924,0.4353,0.2975,0.509,0.4014,0.5139,0.3469,0.4381,0.4667,0.4001,0.5568
0:02:30,0.1123,0.5887,0.5843,0.5786,0.4313,0.6191,0.4121,0.4602,0.3133,0.5386,0.4267,0.5443,0.3669,0.4624,0.497,0.4228,0.5964
