Wavelength,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
A1,0.8788,1.0474,1.1864,1.2904,1.3847,1.4597,1.5756,1.8518,2.3806,2.9365,3.4829,3.8294,3.8783,3.6569,3.3124,2.9893,2.6067,1.9917,1.2658,0.7623,0.4349,0.2492,0.1473,0.1115,0.0974,0.0917,0.0886,0.0859,0.0845,0.0836,0.0831,0.0826,0.0826
A2,0.8677,1.0246,1.153,1.2517,1.3383,1.4057,1.5094,1.7493,2.2207,2.7087,3.2262,3.582,3.6561,3.3787,3.0255,2.7176,2.3592,1.7988,1.1568,0.6951,0.4026,0.2358,0.1458,0.1132,0.1007,0.0952,0.0921,0.0892,0.0877,0.0863,0.0857,0.0852,0.0853
A3,0.8362,0.9853,1.1059,1.2003,1.2812,1.3424,1.4349,1.6416,2.0584,2.4976,2.9649,3.2999,3.3728,3.0823,2.7479,2.4581,2.1379,1.6314,1.0474,0.6309,0.3661,0.2159,0.1351,0.106,0.094,0.0893,0.0866,0.0836,0.0823,0.081,0.0804,0.0798,0.0796
A4,0.8213,0.965,1.082,1.1718,1.2459,1.3012,1.3805,1.5611,1.9093,2.2851,2.6879,2.974,3.0315,2.7613,2.4561,2.1894,1.892,1.4453,0.9218,0.5516,0.3248,0.1927,0.1231,0.0973,0.0877,0.0833,0.0809,0.0781,0.0768,0.0755,0.0749,0.0748,0.0743
A5,0.7927,0.9246,1.0308,1.1136,1.1823,1.2282,1.2951,1.4443,1.7309,2.043,2.3793,2.6186,2.6602,2.4271,2.1556,1.926,1.6618,1.2695,0.8122,0.4963,0.2944,0.1809,0.1196,0.0985,0.0898,0.0861,0.0836,0.0813,0.0798,0.0788,0.0783,0.0778,0.0778
A6,0.8043,0.9311,1.0321,1.1084,1.1692,1.21,1.2657,1.3903,1.6236,1.8824,2.1547,2.3411,2.3695,2.1647,1.9269,1.7125,1.4797,1.1286,0.7269,0.447,0.2746,0.176,0.1251,0.1068,0.0989,0.0958,0.0933,0.0914,0.0899,0.089,0.088,0.0877,0.0874
A7,0.7597,0.876,0.97,1.042,1.0975,1.1305,1.1716,1.2617,1.4321,1.6245,1.8284,1.963,1.9777,1.8116,1.6195,1.4386,1.2382,0.9465,0.6068,0.3733,0.2306,0.1531,0.1123,0.0977,0.0918,0.0886,0.0871,0.0851,0.0839,0.0829,0.082,0.0816,0.0813
A8,0.7515,0.8603,0.9483,1.0161,1.0663,1.0915,1.1205,1.1825,1.2931,1.4215,1.5565,1.6385,1.638,1.5075,1.3468,1.1928,1.0215,0.7762,0.5032,0.3075,0.1968,0.1366,0.1044,0.0931,0.0885,0.0862,0.0843,0.0827,0.0808,0.0806,0.0795,0.0789,0.0789
A9,0.7124,0.8115,0.8919,0.9545,0.997,1.0156,1.0304,1.059,1.1065,1.167,1.2284,1.2601,1.2371,1.1385,1.0202,0.9014,0.7685,0.59,0.3856,0.2452,0.164,0.1258,0.1049,0.0935,0.0941,0.0885,0.0884,0.0855,0.0838,0.0836,0.0832,0.0821,0.0818
A10,0.7545,0.8438,0.9168,0.9717,1.008,1.0213,1.0222,1.0197,1.0059,1.0037,0.9963,0.9722,0.9318,0.8627,0.777,0.6822,0.5806,0.4561,0.3226,0.2343,0.1851,0.1612,0.1483,0.1433,0.1413,0.1397,0.1383,0.1367,0.1357,0.1343,0.1338,0.1332,0.1327
A11,0.7,0.7872,0.8569,0.9128,0.9465,0.9542,0.9439,0.9123,0.8413,0.7787,0.7026,0.6277,0.56,0.5052,0.4403,0.3669,0.3,0.2327,0.1697,0.1308,0.1108,0.1003,0.0947,0.0923,0.0911,0.0897,0.0884,0.087,0.0861,0.0848,0.0843,0.0832,0.0833
A12,0.6373,0.7289,0.8051,0.8697,0.9075,0.9137,0.8906,0.8293,0.7033,0.5807,0.4463,0.325,0.2258,0.1754,0.1418,0.1121,0.095,0.0862,0.0823,0.081,0.0801,0.0792,0.0785,0.0786,0.0781,0.0779,0.0772,0.0767,0.0765,0.0764,0.0759,0.0758,0.0759
B1,0.7893,0.9287,1.0523,1.1467,1.2159,1.2724,1.3687,1.603,2.0702,2.5579,3.0741,3.4634,3.5649,3.2793,2.9519,2.6601,2.3176,1.7747,1.1447,0.7125,0.4469,0.3023,0.2403,0.251,0.2964,0.3256,0.2912,0.1997,0.1362,0.1033,0.0897,0.0836,0.081
B2,0.7954,0.9293,1.0427,1.1308,1.1961,1.2438,1.329,1.5365,1.9423,2.3748,2.8495,3.1891,3.2817,3.0143,2.6991,2.4274,2.1158,1.6236,1.0547,0.6625,0.4234,0.2952,0.242,0.2565,0.302,0.3308,0.2973,0.2047,0.1426,0.1107,0.0961,0.0901,0.0881
B3,0.7769,0.9029,1.0073,1.0927,1.1509,1.194,1.2684,1.452,1.8056,2.1812,2.6022,2.9082,2.9906,2.739,2.4487,2.2009,1.9106,1.4753,0.9588,0.604,0.389,0.2765,0.2318,0.2481,0.2962,0.3253,0.2911,0.2006,0.1363,0.1043,0.0896,0.0837,0.081
B4,0.7368,0.8528,0.9494,1.0216,1.0708,1.1051,1.1695,1.3249,1.6273,1.9447,2.3005,2.5559,2.6209,2.4022,2.1501,1.9313,1.6739,1.2958,0.8384,0.5353,0.3514,0.2563,0.2213,0.2422,0.2912,0.3212,0.2871,0.1951,0.1313,0.0988,0.0843,0.0785,0.0763
B5,0.7263,0.8446,0.9364,1.006,1.051,1.0782,1.1283,1.2561,1.5017,1.7735,2.0676,2.2815,2.3284,2.138,1.9187,1.7154,1.4926,1.1469,0.7549,0.4781,0.3218,0.2392,0.2123,0.2347,0.2838,0.3129,0.2803,0.1905,0.1294,0.098,0.0839,0.0783,0.0759
B6,0.7461,0.854,0.9469,1.0185,1.0631,1.0872,1.1269,1.2313,1.4305,1.6444,1.8793,2.0458,2.0752,1.9101,1.7158,1.5399,1.3332,1.0325,0.684,0.4487,0.3139,0.2453,0.2247,0.2483,0.2956,0.3237,0.2929,0.2082,0.1492,0.1189,0.1049,0.0993,0.0972
B7,0.721,0.8118,0.8893,0.9495,0.9844,1.0024,1.0311,1.1055,1.2424,1.3985,1.5654,1.6808,1.7005,1.5753,1.4199,1.2745,1.1047,0.8548,0.5752,0.3884,0.2839,0.2342,0.2233,0.2503,0.3,0.3294,0.2974,0.2118,0.1513,0.1206,0.1067,0.101,0.099
